shipment_key,consignment_number,sender_name,receiver_name,warehouse_code,origin_city,destination_city,package_type,package_weight_kg,shipping_charge,delivery_status,record_date,record_year
65,CN50065,Sender_65,Receiver_65,WH814,Bengaluru,Kolkata,Crate,54.18,12533.65,In Transit,2019-08-03,2019
66,CN50066,Sender_66,Receiver_66,WH701,Bengaluru,Jaipur,Box,73.24,9892.88,Cancelled,2024-10-01,2024
67,CN50067,Sender_67,Receiver_67,WH280,Mumbai,Kolkata,Crate,40.26,13375.23,Delivered,2025-04-08,2025
68,CN50068,Sender_68,Receiver_68,WH958,Delhi,Nagpur,Envelope,27.36,8807.04,Delayed,2022-02-02,2022
69,CN50069,Sender_69,Receiver_69,WH158,Delhi,Jaipur,Crate,56.62,19949.04,Delivered,2024-01-30,2024
70,CN50070,Sender_70,Receiver_70,WH697,Pune,Ahmedabad,Envelope,57.74,3574.45,Cancelled,2024-02-13,2024
71,CN50071,Sender_71,Receiver_71,WH898,Hyderabad,Kolkata,Crate,2.81,8336.04,In Transit,2024-09-16,2024
72,CN50072,Sender_72,Receiver_72,WH507,Mumbai,Nagpur,Box,42.66,14388.28,Booked,2018-09-29,2018
73,CN50073,Sender_73,Receiver_73,WH675,Mumbai,Jaipur,Crate,91.79,7323.72,Booked,2025-02-25,2025
74,CN50074,Sender_74,Receiver_74,WH526,Pune,Nagpur,Envelope,46.74,24220.35,Cancelled,2025-07-15,2025
75,CN50075,Sender_75,Receiver_75,WH927,Hyderabad,Ahmedabad,Box,97.1,20873.18,Cancelled,2019-11-17,2019
76,CN50076,Sender_76,Receiver_76,WH245,Mumbai,Chennai,Box,93.29,5164.51,Delivered,2025-11-18,2025
77,CN50077,Sender_77,Receiver_77,WH461,Pune,Kolkata,Crate,72.86,18917.17,Cancelled,2023-12-20,2023
78,CN50078,Sender_78,Receiver_78,WH351,Hyderabad,Ahmedabad,Envelope,23.46,20764.57,In Transit,2025-01-16,2025
79,CN50079,Sender_79,Receiver_79,WH380,Delhi,Nagpur,Pallet,23.54,10990.31,Delivered,2019-10-06,2019
80,CN50080,Sender_80,Receiver_80,WH698,Hyderabad,Chennai,Envelope,85.26,13519.81,In Transit,2020-07-17,2020
81,CN50081,Sender_81,Receiver_81,WH182,Hyderabad,Ahmedabad,Box,57.94,19033.01,Delayed,2023-05-27,2023
82,CN50082,Sender_82,Receiver_82,WH847,Hyderabad,Chennai,Box,5.35,12929.18,In Transit,2021-10-17,2021
83,CN50083,Sender_83,Receiver_83,WH959,Hyderabad,Jaipur,Box,78.54,5607.71,Cancelled,2020-08-28,2020
84,CN50084,Sender_84,Receiver_84,WH848,Pune,Kolkata,Envelope,58.82,4446.64,Delayed,2023-06-17,2023
85,CN50085,Sender_85,Receiver_85,WH640,Pune,Chennai,Box,64.78,12900.37,Delayed,2022-12-08,2022
86,CN50086,Sender_86,Receiver_86,WH356,Hyderabad,Nagpur,Pallet,75.74,9428.76,Booked,2025-10-13,2025
87,CN50087,Sender_87,Receiver_87,WH856,Bengaluru,Kolkata,Box,89.08,14933.36,Booked,2022-11-29,2022
88,CN50088,Sender_88,Receiver_88,WH526,Pune,Kolkata,Pallet,31.67,20783.91,Delivered,2024-03-21,2024
89,CN50089,Sender_89,Receiver_89,WH722,Bengaluru,Nagpur,Crate,43.35,6502.4,Delivered,2025-06-16,2025
90,CN50090,Sender_90,Receiver_90,WH923,Bengaluru,Ahmedabad,Crate,68.07,8526.33,In Transit,2024-09-14,2024
91,CN50091,Sender_91,Receiver_91,WH269,Bengaluru,Ahmedabad,Crate,27.59,9865.79,Cancelled,2019-07-18,2019
92,CN50092,Sender_92,Receiver_92,WH885,Mumbai,Chennai,Envelope,80.15,21913.27,Booked,2023-10-01,2023
93,CN50093,Sender_93,Receiver_93,WH441,Hyderabad,Ahmedabad,Crate,49.07,14506.84,In Transit,2024-10-12,2024
94,CN50094,Sender_94,Receiver_94,WH698,Bengaluru,Jaipur,Crate,5.33,13852.42,In Transit,2025-03-26,2025
95,CN50095,Sender_95,Receiver_95,WH562,Mumbai,Nagpur,Pallet,13.64,23205.84,Delayed,2023-05-30,2023
96,CN50096,Sender_96,Receiver_96,WH565,Mumbai,Nagpur,Envelope,71.84,4150.35,Delayed,2023-06-12,2023
97,CN50097,Sender_97,Receiver_97,WH571,Mumbai,Ahmedabad,Envelope,43.68,5662.72,Delivered,2026-04-29,2026
98,CN50098,Sender_98,Receiver_98,WH312,Pune,Chennai,Crate,64.7,22407.64,Delayed,2024-08-07,2024
99,CN50099,Sender_99,Receiver_99,WH477,Hyderabad,Kolkata,Envelope,83.4,13918.17,In Transit,2023-10-08,2023
100,CN50100,Sender_100,Receiver_100,WH798,Bengaluru,Kolkata,Crate,46.88,12422.5,Delivered,2019-04-27,2019
