order_key,buyer_name,order_number,product_code,product_category,quantity_ordered,order_value,payment_method,order_status,record_date,record_year
22,Buyer_22,ORD30022,PRD8818,Books,3,18186.13,Debit Card,Delivered,2024-02-29,2024
23,Buyer_23,ORD30023,PRD2732,Clothing,4,71752.28,UPI,Placed,2023-01-21,2023
24,Buyer_24,ORD30024,PRD2873,Clothing,3,105470.11,Debit Card,Placed,2023-02-09,2023
25,Buyer_25,ORD30025,PRD3714,Grocery,9,80063.31,Credit Card,Cancelled,2026-05-18,2026
26,Buyer_26,ORD30026,PRD3452,Books,4,29327.01,Cash,Cancelled,2022-08-11,2022
27,Buyer_27,ORD30027,PRD3346,Furniture,2,89975.91,Credit Card,Shipped,2020-03-21,2020
28,Buyer_28,ORD30028,PRD9220,Clothing,4,25113.15,Net Banking,Packed,2025-12-15,2025
29,Buyer_29,ORD30029,PRD1413,Furniture,5,1122.92,Net Banking,Shipped,2021-11-27,2021
30,Buyer_30,ORD30030,PRD2970,Furniture,5,145057.09,Net Banking,Delivered,2026-08-07,2026
31,Buyer_31,ORD30031,PRD2522,Furniture,2,36160.11,Cash,Delivered,2024-11-30,2024
32,Buyer_32,ORD30032,PRD4406,Books,1,20910.53,Net Banking,Cancelled,2025-09-04,2025
33,Buyer_33,ORD30033,PRD1286,Books,2,52908.5,Cash,Delivered,2021-07-21,2021
34,Buyer_34,ORD30034,PRD8923,Furniture,7,9907.15,UPI,Packed,2022-04-12,2022
35,Buyer_35,ORD30035,PRD1082,Electronics,2,47543.43,Credit Card,Shipped,2018-12-12,2018
36,Buyer_36,ORD30036,PRD8349,Grocery,9,141217.64,Credit Card,Placed,2019-01-01,2019
37,Buyer_37,ORD30037,PRD9693,Electronics,2,140047.62,Net Banking,Shipped,2024-10-20,2024
38,Buyer_38,ORD30038,PRD2848,Furniture,3,40279.9,UPI,Delivered,2021-10-12,2021
39,Buyer_39,ORD30039,PRD3093,Books,10,55194.98,Debit Card,Delivered,2023-06-10,2023
40,Buyer_40,ORD30040,PRD1728,Books,10,27702.84,UPI,Shipped,2019-07-21,2019
41,Buyer_41,ORD30041,PRD8653,Grocery,7,98691.89,Cash,Packed,2020-06-19,2020
42,Buyer_42,ORD30042,PRD7123,Clothing,6,38402.71,UPI,Placed,2024-06-14,2024
43,Buyer_43,ORD30043,PRD1357,Books,6,129738.88,Net Banking,Packed,2020-04-18,2020
44,Buyer_44,ORD30044,PRD3161,Clothing,10,23256.35,UPI,Placed,2025-07-07,2025
45,Buyer_45,ORD30045,PRD9718,Electronics,4,7554.95,UPI,Shipped,2022-04-28,2022
46,Buyer_46,ORD30046,PRD7848,Electronics,9,33804.07,Debit Card,Packed,2024-07-10,2024
47,Buyer_47,ORD30047,PRD2787,Grocery,3,3116.2,Credit Card,Shipped,2021-10-29,2021
48,Buyer_48,ORD30048,PRD4021,Electronics,4,34200.5,Cash,Cancelled,2024-03-26,2024
49,Buyer_49,ORD30049,PRD4474,Grocery,9,109999.88,Credit Card,Shipped,2020-05-11,2020
50,Buyer_50,ORD30050,PRD9336,Books,9,11069.52,Net Banking,Packed,2026-08-09,2026
51,Buyer_51,ORD30051,PRD5826,Furniture,10,75008.45,Debit Card,Placed,2025-06-03,2025
52,Buyer_52,ORD30052,PRD8583,Electronics,4,106527.82,Net Banking,Delivered,2020-01-01,2020
53,Buyer_53,ORD30053,PRD3651,Books,10,46622.96,Net Banking,Delivered,2025-07-17,2025
54,Buyer_54,ORD30054,PRD3260,Clothing,2,1068.69,Debit Card,Delivered,2020-09-09,2020
55,Buyer_55,ORD30055,PRD5062,Books,4,9805.45,Credit Card,Cancelled,2023-01-23,2023
56,Buyer_56,ORD30056,PRD2961,Furniture,3,68237.34,UPI,Cancelled,2019-02-01,2019
57,Buyer_57,ORD30057,PRD5180,Grocery,3,104007.83,UPI,Packed,2022-04-01,2022
58,Buyer_58,ORD30058,PRD5344,Furniture,5,43470.43,Debit Card,Shipped,2023-07-12,2023
59,Buyer_59,ORD30059,PRD2301,Grocery,7,35802.38,UPI,Placed,2020-03-06,2020
60,Buyer_60,ORD30060,PRD6194,Furniture,6,120081.78,Credit Card,Delivered,2023-06-14,2023
61,Buyer_61,ORD30061,PRD7556,Books,2,61399.43,Net Banking,Placed,2026-04-15,2026
62,Buyer_62,ORD30062,PRD7589,Furniture,5,62494.09,Debit Card,Delivered,2023-02-12,2023
63,Buyer_63,ORD30063,PRD6113,Grocery,2,137275.91,Cash,Delivered,2021-03-18,2021
64,Buyer_64,ORD30064,PRD8052,Electronics,1,82928.83,UPI,Cancelled,2026-04-04,2026
65,Buyer_65,ORD30065,PRD3999,Electronics,7,31132.85,UPI,Shipped,2023-07-20,2023
66,Buyer_66,ORD30066,PRD3756,Furniture,6,79640.37,Debit Card,Delivered,2026-07-04,2026
67,Buyer_67,ORD30067,PRD7339,Grocery,8,103758.92,Net Banking,Placed,2018-12-13,2018
68,Buyer_68,ORD30068,PRD3330,Books,2,97203.85,UPI,Placed,2020-03-30,2020
69,Buyer_69,ORD30069,PRD4536,Books,2,1974.14,Net Banking,Delivered,2021-02-27,2021
70,Buyer_70,ORD30070,PRD4600,Electronics,6,75981.26,UPI,Shipped,2022-05-13,2022
71,Buyer_71,ORD30071,PRD4681,Books,8,29764.25,Credit Card,Delivered,2022-12-15,2022
72,Buyer_72,ORD30072,PRD6817,Grocery,2,17916.3,UPI,Delivered,2022-08-13,2022
73,Buyer_73,ORD30073,PRD2656,Books,5,116837.36,Net Banking,Placed,2019-09-28,2019
74,Buyer_74,ORD30074,PRD2029,Grocery,1,10824.74,Cash,Delivered,2023-05-09,2023
75,Buyer_75,ORD30075,PRD5635,Electronics,8,12963.92,Credit Card,Shipped,2024-09-21,2024
76,Buyer_76,ORD30076,PRD1088,Electronics,5,67075.47,UPI,Placed,2024-11-28,2024
77,Buyer_77,ORD30077,PRD3416,Electronics,10,88553.51,Net Banking,Shipped,2020-12-18,2020
78,Buyer_78,ORD30078,PRD5115,Books,7,17688.12,Net Banking,Cancelled,2022-10-13,2022
79,Buyer_79,ORD30079,PRD9001,Clothing,7,60706.0,Debit Card,Placed,2023-10-05,2023
80,Buyer_80,ORD30080,PRD9058,Grocery,6,57203.22,Debit Card,Cancelled,2020-11-25,2020
81,Buyer_81,ORD30081,PRD1293,Clothing,5,124944.82,Cash,Placed,2022-05-26,2022
82,Buyer_82,ORD30082,PRD7688,Grocery,3,48342.57,UPI,Shipped,2018-09-26,2018
83,Buyer_83,ORD30083,PRD5467,Books,3,146135.73,UPI,Packed,2025-09-25,2025
84,Buyer_84,ORD30084,PRD7254,Grocery,10,96248.95,Debit Card,Shipped,2020-10-04,2020
85,Buyer_85,ORD30085,PRD2387,Books,1,33115.83,Credit Card,Shipped,2021-08-24,2021
86,Buyer_86,ORD30086,PRD6474,Grocery,8,37882.36,UPI,Placed,2018-11-27,2018
87,Buyer_87,ORD30087,PRD9127,Furniture,9,123806.77,Cash,Packed,2019-12-26,2019
88,Buyer_88,ORD30088,PRD9690,Books,9,8305.05,Credit Card,Delivered,2020-01-30,2020
89,Buyer_89,ORD30089,PRD1504,Grocery,1,67835.34,Debit Card,Placed,2024-02-06,2024
90,Buyer_90,ORD30090,PRD5398,Electronics,8,138023.97,UPI,Delivered,2020-11-11,2020
91,Buyer_91,ORD30091,PRD1218,Grocery,8,13104.31,Cash,Packed,2023-08-15,2023
92,Buyer_92,ORD30092,PRD2508,Electronics,4,18998.73,UPI,Packed,2020-08-31,2020
93,Buyer_93,ORD30093,PRD5423,Electronics,10,99269.21,UPI,Placed,2025-08-04,2025
94,Buyer_94,ORD30094,PRD4786,Grocery,1,58529.62,Net Banking,Cancelled,2025-11-16,2025
95,Buyer_95,ORD30095,PRD6797,Furniture,9,114890.16,Net Banking,Placed,2024-03-22,2024
96,Buyer_96,ORD30096,PRD3273,Grocery,5,66028.92,Credit Card,Shipped,2023-04-11,2023
97,Buyer_97,ORD30097,PRD2705,Electronics,3,29722.88,Cash,Delivered,2020-10-14,2020
98,Buyer_98,ORD30098,PRD4844,Furniture,7,60063.05,UPI,Cancelled,2020-03-24,2020
99,Buyer_99,ORD30099,PRD8605,Clothing,7,5651.89,Debit Card,Cancelled,2024-07-12,2024
100,Buyer_100,ORD30100,PRD7759,Clothing,1,46297.47,Net Banking,Placed,2019-09-23,2019
