policy_key,policy_holder,policy_number,insurance_type,premium_amount,coverage_amount,claim_status,agent_code,record_date,record_year
29,PolicyHolder_29,POL20029,Health,60314.83,1862591.63,Claim Approved,AG553,2023-03-26,2023
30,PolicyHolder_30,POL20030,Life,88653.0,1942163.51,Claim Rejected,AG503,2019-03-28,2019
31,PolicyHolder_31,POL20031,Health,81064.3,4639615.97,No Claim,AG695,2021-07-12,2021
32,PolicyHolder_32,POL20032,Vehicle,26867.42,1085089.91,Claim Rejected,AG444,2024-03-12,2024
33,PolicyHolder_33,POL20033,Life,64223.54,1806143.32,No Claim,AG866,2022-12-10,2022
34,PolicyHolder_34,POL20034,Health,77252.14,2437457.86,Claim Raised,AG403,2022-10-18,2022
35,PolicyHolder_35,POL20035,Life,69728.51,1814562.48,Claim Raised,AG119,2018-10-02,2018
36,PolicyHolder_36,POL20036,Property,55010.6,1311253.22,Claim Rejected,AG497,2021-04-02,2021
37,PolicyHolder_37,POL20037,Vehicle,53061.64,3280104.94,Claim Approved,AG735,2026-06-03,2026
38,PolicyHolder_38,POL20038,Property,30522.73,3720591.2,Claim Rejected,AG775,2019-08-11,2019
39,PolicyHolder_39,POL20039,Property,17310.84,4278707.68,Claim Approved,AG743,2021-04-27,2021
40,PolicyHolder_40,POL20040,Life,65714.47,3545293.03,No Claim,AG864,2024-12-20,2024
41,PolicyHolder_41,POL20041,Health,55261.72,1915270.94,Claim Raised,AG659,2021-09-07,2021
42,PolicyHolder_42,POL20042,Vehicle,82206.94,3188125.37,Claim Raised,AG231,2024-05-15,2024
43,PolicyHolder_43,POL20043,Health,58845.19,4560155.64,Claim Raised,AG447,2021-10-04,2021
44,PolicyHolder_44,POL20044,Life,99682.52,3341499.03,No Claim,AG249,2021-10-03,2021
45,PolicyHolder_45,POL20045,Vehicle,14111.11,1590703.58,No Claim,AG607,2021-08-21,2021
46,PolicyHolder_46,POL20046,Health,50181.33,2017897.09,No Claim,AG769,2019-02-13,2019
47,PolicyHolder_47,POL20047,Vehicle,52720.39,2152525.84,Claim Raised,AG566,2020-03-09,2020
48,PolicyHolder_48,POL20048,Property,84196.77,973396.97,Claim Raised,AG396,2023-08-24,2023
49,PolicyHolder_49,POL20049,Life,47373.99,2392201.27,Claim Approved,AG751,2019-12-31,2019
50,PolicyHolder_50,POL20050,Health,80850.11,3632722.54,Claim Raised,AG844,2024-09-03,2024
51,PolicyHolder_51,POL20051,Life,53128.93,4970639.93,Claim Rejected,AG197,2022-02-07,2022
52,PolicyHolder_52,POL20052,Life,76077.38,4871782.56,Claim Approved,AG933,2022-10-05,2022
53,PolicyHolder_53,POL20053,Life,6021.16,4033090.62,Claim Raised,AG391,2021-12-15,2021
54,PolicyHolder_54,POL20054,Life,53482.52,974875.11,No Claim,AG219,2024-06-01,2024
55,PolicyHolder_55,POL20055,Property,58443.78,539230.1,Claim Raised,AG717,2021-10-25,2021
56,PolicyHolder_56,POL20056,Property,47223.13,4681107.51,No Claim,AG834,2026-05-11,2026
57,PolicyHolder_57,POL20057,Life,83993.97,4145603.8,No Claim,AG608,2026-05-06,2026
58,PolicyHolder_58,POL20058,Vehicle,20033.8,4819194.84,Claim Raised,AG220,2026-07-29,2026
59,PolicyHolder_59,POL20059,Property,46011.24,3939504.28,Claim Raised,AG622,2019-09-25,2019
60,PolicyHolder_60,POL20060,Property,13399.51,221075.54,No Claim,AG361,2019-04-22,2019
61,PolicyHolder_61,POL20061,Vehicle,93740.14,4857630.08,Claim Rejected,AG748,2022-09-11,2022
62,PolicyHolder_62,POL20062,Health,69236.69,1881290.04,No Claim,AG691,2026-04-17,2026
63,PolicyHolder_63,POL20063,Life,26731.59,449939.48,Claim Rejected,AG530,2020-09-03,2020
64,PolicyHolder_64,POL20064,Health,62165.45,1167200.7,Claim Rejected,AG195,2019-02-26,2019
65,PolicyHolder_65,POL20065,Property,90078.84,4305158.92,Claim Approved,AG436,2021-11-21,2021
66,PolicyHolder_66,POL20066,Property,22950.25,3147014.89,No Claim,AG861,2019-11-08,2019
67,PolicyHolder_67,POL20067,Vehicle,22769.8,1094188.72,Claim Raised,AG399,2019-01-24,2019
68,PolicyHolder_68,POL20068,Health,9953.39,1199034.17,Claim Rejected,AG618,2018-09-06,2018
69,PolicyHolder_69,POL20069,Property,68609.19,3089494.07,Claim Raised,AG426,2025-10-21,2025
70,PolicyHolder_70,POL20070,Health,86297.63,2593521.86,Claim Rejected,AG281,2019-04-12,2019
71,PolicyHolder_71,POL20071,Life,57063.31,4127121.94,Claim Raised,AG251,2020-05-04,2020
72,PolicyHolder_72,POL20072,Health,21249.3,4825585.34,Claim Approved,AG934,2021-12-11,2021
73,PolicyHolder_73,POL20073,Life,87818.74,683190.78,No Claim,AG732,2023-11-28,2023
74,PolicyHolder_74,POL20074,Vehicle,97303.17,1888266.98,No Claim,AG366,2020-06-04,2020
75,PolicyHolder_75,POL20075,Property,5143.43,3947372.57,Claim Rejected,AG935,2018-12-22,2018
76,PolicyHolder_76,POL20076,Vehicle,9913.64,4926626.24,No Claim,AG120,2023-10-07,2023
77,PolicyHolder_77,POL20077,Vehicle,45005.68,2352463.16,Claim Approved,AG186,2024-05-22,2024
78,PolicyHolder_78,POL20078,Property,87212.78,446718.36,Claim Rejected,AG879,2025-11-20,2025
79,PolicyHolder_79,POL20079,Vehicle,74960.52,4854089.64,No Claim,AG792,2018-11-09,2018
80,PolicyHolder_80,POL20080,Vehicle,73316.48,2523392.4,No Claim,AG441,2018-09-27,2018
81,PolicyHolder_81,POL20081,Health,74665.54,3459767.8,No Claim,AG998,2024-06-18,2024
82,PolicyHolder_82,POL20082,Life,47921.73,1805665.15,No Claim,AG827,2025-09-02,2025
83,PolicyHolder_83,POL20083,Health,72990.3,1301326.96,Claim Approved,AG692,2024-07-15,2024
84,PolicyHolder_84,POL20084,Property,52470.81,4518722.19,Claim Rejected,AG184,2023-09-21,2023
85,PolicyHolder_85,POL20085,Life,60140.5,3154010.44,Claim Raised,AG305,2020-09-18,2020
86,PolicyHolder_86,POL20086,Vehicle,8869.31,4629332.76,Claim Rejected,AG851,2021-05-08,2021
87,PolicyHolder_87,POL20087,Property,51792.69,4602323.23,No Claim,AG468,2022-03-14,2022
88,PolicyHolder_88,POL20088,Vehicle,78028.42,821922.17,Claim Raised,AG160,2020-11-21,2020
89,PolicyHolder_89,POL20089,Vehicle,22066.44,266404.28,No Claim,AG745,2021-04-21,2021
90,PolicyHolder_90,POL20090,Life,15105.0,2344829.71,Claim Approved,AG332,2019-11-17,2019
91,PolicyHolder_91,POL20091,Property,96032.96,1493479.28,Claim Approved,AG417,2019-05-03,2019
92,PolicyHolder_92,POL20092,Vehicle,51683.49,3387746.87,Claim Raised,AG308,2021-06-06,2021
93,PolicyHolder_93,POL20093,Property,49460.23,3298429.49,Claim Raised,AG567,2021-02-10,2021
94,PolicyHolder_94,POL20094,Property,97258.45,223431.23,Claim Raised,AG584,2026-01-30,2026
95,PolicyHolder_95,POL20095,Health,50878.33,1359100.37,No Claim,AG624,2021-02-13,2021
96,PolicyHolder_96,POL20096,Health,26406.44,3351355.29,No Claim,AG237,2023-11-11,2023
97,PolicyHolder_97,POL20097,Life,41861.22,243467.45,Claim Approved,AG308,2019-06-29,2019
98,PolicyHolder_98,POL20098,Vehicle,96351.92,1166067.72,Claim Raised,AG997,2021-07-24,2021
99,PolicyHolder_99,POL20099,Health,29052.62,3298210.81,No Claim,AG636,2023-05-10,2023
100,PolicyHolder_100,POL20100,Property,37222.21,1703925.43,Claim Approved,AG182,2021-05-02,2021
